scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL,SCORE_TOTAL_SE
baseline,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,2513.7578620599315,144.2187288955117
baseline,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38726.84112935419,613.8994828298515
baseline,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),814558.3476816936,20702.285798169465
baseline,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,595973.6100008204,NA
baseline,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,418458.69000043476,NA
baseline,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,208087.3800001224,NA
baseline,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,202861.80000013768,NA
baseline,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,169444.44000014526,NA
baseline,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,859796.4600010676,NA
baseline,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,562853.5199998701,NA
baseline,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,631185.6599999794,NA
baseline,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,674310.9599999557,NA
baseline,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,8321171.617073545,NA
baseline,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,8500081.034859188,NA
baseline,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,7684861.429093509,NA
baseline,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,3497526.95029796,NA
baseline,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,3721512.780561402,NA
baseline,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,24808444.475219153,NA
baseline,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,17327798.0473321,NA
baseline,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,1246455.7113711827,NA
baseline,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,2343767.7604282484,NA
baseline,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,1030219.2613740552,NA
baseline,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,1334311.198999474,NA
baseline,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,940626.8215512806,NA
baseline,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,4494040.929309527,NA
baseline,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,2006790.830626525,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,2968117.571044962,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,3996614.9640703266,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,1356283.114867662,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Geese,ha,4921122.132914599,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,5232194.561819236,NA
baseline,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,3489006.9881600924,NA
baseline,Climate Change Resilience,climate change resilience,Drought,ranking,1501446.1687507308,70863.98466605773
baseline,Climate Change Resilience,climate change resilience,Flood,ranking,1540246.6373877635,73762.51566575798
baseline,Climate Change Resilience,climate change resilience,Heat,ranking,1838578.5900009822,80618.64100986463
baseline,Climate Change Resilience,climate change resilience,Overall,ranking,1641544.4021599048,43412.71999767642
baseline,Climate Change Resilience,climate change resilience,Salinity,ranking,1685906.212500143,0
baseline,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,125430.863485304,9894.388055583227
baseline,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,16239.360345045463,2134.8198858076667
baseline,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,392864.74040887435,16782.85648398727
scenario1_restoration,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,2458.302966676867,142.09091772567044
scenario1_restoration,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38697.50096778964,613.3768124229416
scenario1_restoration,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),797689.1866727817,20401.462508506775
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,565294.5000007681,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,440423.28000045376,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,262271.88000017975,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,251809.20000018133,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,202435.56000016996,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,856559.3400010337,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,589041.8100001006,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,651717.7200002025,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,713966.4900002012,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,8891634.21664621,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,9151057.863522984,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,8013409.83240176,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,3598999.645493552,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,4181081.572167586,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,24988330.59181182,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,18221545.57397207,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,1221065.2179232282,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,2371074.949992924,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,1058593.7959290983,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,1812367.1872377708,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,999417.7702972227,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,4699311.455441846,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,2413223.7030304763,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,2908578.762802854,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,4405692.556074365,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,1645640.9791599992,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Geese,ha,5048267.225079451,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,5479231.735299859,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,3771500.5301451106,NA
